time_ms,p1,p2,f3,f4
152464.0,-315.0,3087.0,0.017,6.23
152469.0,-411.0,2808.0,0.017,6.72
152474.0,-518.0,2885.0,-0.025,6.23
152479.0,-604.0,3225.0,0.017,6.48
152484.0,84.0,3206.0,0.008,6.72
152489.0,-89.0,2984.0,0.075,6.23
152496.0,-271.0,3018.0,0.008,6.48
152501.0,-371.0,2877.0,0.067,6.96
152505.0,-444.0,3174.0,0.033,6.48
152511.0,-204.0,2952.0,0.05,6.48
152516.0,-144.0,2979.0,-0.033,6.23
152521.0,-65.0,3152.0,0.05,6.23
152526.0,-3.0,2972.0,-0.008,6.23
152531.0,-299.0,3333.0,0.042,6.48
152537.0,-272.0,3061.0,-0.017,6.48
152543.0,174.0,3055.0,0.05,6.23
152548.0,18.0,3088.0,-0.033,6.23
152552.0,69.0,2961.0,0.083,6.23
152558.0,-235.0,3379.0,0.025,6.23
152563.0,-211.0,3182.0,0.1,7.21
152568.0,-48.0,2784.0,-0.008,6.48
152573.0,168.0,3088.0,-0.017,6.48
152579.0,-244.0,3321.0,0.025,6.72
152584.0,-361.0,3150.0,-0.008,6.23
152589.0,-53.0,3050.0,0.008,6.48
152594.0,-159.0,3171.0,0.017,6.23
152599.0,-302.0,3372.0,0.042,6.48
152604.0,16.0,3210.0,0.042,6.48
152609.0,-68.0,2975.0,-0.017,6.23
152615.0,-679.0,3505.0,-0.05,6.48
152621.0,47.0,3035.0,0.05,6.23
152626.0,-75.0,2878.0,0.042,6.96
152631.0,-310.0,3083.0,-0.017,6.23
152636.0,-148.0,3071.0,-0.008,6.96
152641.0,68.0,3030.0,0.042,6.23
152646.0,-127.0,2758.0,-0.083,6.23
152651.0,-468.0,3187.0,0.025,6.23
152655.0,-37.0,3182.0,-0.092,6.23
152660.0,-50.0,2957.0,0.017,6.48
152666.0,141.0,2812.0,0.108,6.48
152670.0,-302.0,2947.0,0.075,6.23
152675.0,-154.0,3202.0,0.008,6.23
152680.0,39.0,2928.0,0.117,6.23
152685.0,-495.0,2837.0,0.042,6.23
152690.0,-102.0,3136.0,0.017,6.96
152695.0,174.0,3198.0,-0.017,6.23
152700.0,-52.0,2901.0,-0.025,6.23
152706.0,-261.0,2516.0,0.017,6.72
152711.0,71.0,3089.0,0.058,6.23
152716.0,57.0,3230.0,-0.017,6.23
152721.0,198.0,2918.0,0.092,6.23
152726.0,-158.0,3019.0,-0.008,6.48
152731.0,-70.0,3134.0,-0.025,6.96
152736.0,-83.0,3012.0,0.1,6.96
152741.0,159.0,2903.0,0.025,5.01
152747.0,-294.0,3126.0,0.033,6.48
152752.0,-250.0,3043.0,0.075,6.23
152757.0,-148.0,2872.0,0.067,6.23
152762.0,-355.0,3080.0,0.033,6.23
152767.0,105.0,2881.0,0.033,5.74
152772.0,-41.0,2842.0,0.017,6.23
152777.0,-184.0,2796.0,-0.083,6.48
152782.0,-18.0,3301.0,-0.008,6.48
152787.0,-138.0,2834.0,0.025,6.72
152793.0,-229.0,3184.0,0.008,6.23
152798.0,-57.0,3179.0,-0.05,6.23
152803.0,122.0,3093.0,-0.05,6.23
152808.0,75.0,3242.0,-0.008,6.23
152813.0,-311.0,3131.0,0.025,6.72
152818.0,-270.0,2875.0,0.025,6.48
152823.0,348.0,2670.0,0.058,6.48
152828.0,-38.0,3115.0,-0.05,6.48
152834.0,173.0,3129.0,0.075,6.48
152839.0,-17.0,2956.0,-0.017,6.96
