time_ms,p1,p2,f3,f4
4530.0,234.0,51.0,0.008,6.48
4533.0,163.0,230.0,0.092,6.48
4537.0,-30.0,53.0,0.058,6.23
4540.0,61.0,14.0,0.083,6.48
4543.0,-238.0,363.0,0.0,6.96
4547.0,-39.0,264.0,0.008,6.48
4550.0,-372.0,157.0,0.058,6.72
4554.0,-117.0,74.0,0.05,6.48
4558.0,150.0,101.0,0.008,6.48
4561.0,9.0,308.0,0.067,6.23
4566.0,152.0,423.0,0.05,6.48
4569.0,9.0,66.0,0.05,6.96
4573.0,-284.0,-189.0,0.05,6.96
4576.0,-215.0,228.0,0.05,6.72
4580.0,76.0,317.0,0.017,6.48
4583.0,61.0,240.0,0.008,6.48
4587.0,-4.0,161.0,0.05,6.48
4590.0,317.0,228.0,0.067,6.48
4594.0,74.0,219.0,-0.017,6.23
4597.0,155.0,110.0,-0.008,6.48
4601.0,296.0,233.0,0.042,6.96
4604.0,61.0,-142.0,-0.008,6.48
4609.0,-120.0,-167.0,0.067,6.72
4612.0,167.0,366.0,0.0,6.48
4616.0,-324.0,289.0,-0.017,6.48
4619.0,-247.0,-74.0,0.008,6.72
4623.0,142.0,-127.0,0.05,6.48
4626.0,93.0,110.0,0.033,6.48
4630.0,-190.0,117.0,0.025,6.96
4633.0,3.0,98.0,0.042,6.48
4637.0,-174.0,-275.0,0.017,6.96
4640.0,-175.0,110.0,0.067,6.48
4644.0,120.0,85.0,0.025,6.96
4647.0,-9.0,438.0,0.042,6.96
4652.0,-284.0,665.0,0.017,6.96
4656.0,-241.0,162.0,0.025,6.23
4659.0,352.0,83.0,-0.033,6.48
4663.0,383.0,498.0,0.017,6.23
4666.0,460.0,171.0,0.042,6.48
4670.0,321.0,-22.0,-0.017,6.48
4673.0,384.0,129.0,0.025,6.48
4677.0,251.0,238.0,0.05,6.48
4680.0,-72.0,187.0,0.125,6.23
4684.0,-17.0,106.0,0.042,6.48
4687.0,16.0,-209.0,0.017,6.72
4691.0,-203.0,-184.0,0.108,6.48
4695.0,128.0,229.0,0.05,6.72
4699.0,173.0,250.0,0.058,6.48
4702.0,58.0,85.0,0.1,6.48
4706.0,-255.0,26.0,0.1,6.72
4709.0,-236.0,-9.0,0.033,6.48
4713.0,-141.0,396.0,0.042,6.48
4716.0,-196.0,-207.0,0.05,6.96
4720.0,-89.0,-276.0,0.042,7.21
4724.0,-274.0,-153.0,0.033,6.23
4727.0,-261.0,-22.0,0.008,6.96
4731.0,248.0,463.0,0.025,6.23
4734.0,495.0,276.0,0.05,6.48
4739.0,248.0,13.0,0.008,6.48
4742.0,119.0,96.0,0.058,6.96
4746.0,196.0,247.0,0.008,6.48
4749.0,49.0,354.0,-0.033,6.48
4753.0,-322.0,279.0,0.017,6.96
4756.0,-91.0,92.0,0.017,6.96
4760.0,-152.0,465.0,0.025,6.96
4763.0,-17.0,730.0,0.025,6.48
4767.0,-324.0,221.0,0.0,6.72
4770.0,-361.0,-122.0,0.025,6.48
4774.0,-112.0,133.0,0.075,6.48
4777.0,129.0,492.0,0.05,6.48
4782.0,-104.0,-3.0,0.05,6.48
4785.0,39.0,-4.0,0.092,6.23
4789.0,190.0,83.0,0.058,6.23
4792.0,-89.0,316.0,0.008,6.48
4796.0,-98.0,711.0,0.025,6.23
4799.0,45.0,686.0,0.042,6.48
4803.0,44.0,183.0,0.017,6.48
4806.0,249.0,-96.0,0.017,6.48
4810.0,194.0,285.0,0.017,6.23
4813.0,287.0,140.0,0.025,6.48
4817.0,270.0,39.0,-0.017,6.48
4822.0,-73.0,-342.0,0.017,6.48
4825.0,358.0,-273.0,0.067,6.23
4829.0,145.0,204.0,0.05,6.48
4832.0,-58.0,255.0,0.033,6.72
4836.0,121.0,-2.0,0.042,6.48
4839.0,184.0,151.0,-0.017,6.23
4843.0,265.0,524.0,0.067,6.23
4846.0,164.0,565.0,0.042,6.23
4850.0,37.0,258.0,0.025,6.48
4853.0,150.0,17.0,0.017,6.48
4857.0,51.0,384.0,-0.042,6.96
4860.0,-158.0,427.0,0.017,6.96
4865.0,57.0,268.0,0.008,6.48
4868.0,130.0,-131.0,0.108,6.96
4872.0,-167.0,-356.0,0.033,6.96
4875.0,-210.0,245.0,-0.017,6.96
4879.0,-215.0,528.0,0.058,6.96
