time_s,piston_pos_mm,inlet_air_pressure,inlet_air_flow,outlet_water_pressure,outlet_water_flow
0.00000,0.000000,-0.566227,2.951801,-1.197065,0.000123
0.00500,0.050265,-0.200259,7.257081,-1.019379,0.029962
0.01000,0.100528,0.040298,7.313601,-0.873102,-0.027141
0.01500,0.150788,0.023399,-2.863723,-0.650717,-0.088145
0.02000,0.201041,0.070078,-4.789248,-0.678632,-0.043072
0.02500,0.251286,-0.314861,-7.093669,0.208205,-0.094568
0.03000,0.301521,-0.242143,-1.808685,1.442661,0.014123
0.03500,0.351745,0.189225,-5.787802,-1.310119,0.146910
0.04000,0.401955,-0.432686,-1.391133,-1.539944,-0.030653
0.04500,0.452148,-0.435651,-11.385173,-1.834909,-0.036002
0.05000,0.502324,-1.544936,-6.713749,1.677795,0.084363
0.05500,0.552480,-1.063781,-10.291290,2.023916,0.081976
0.06000,0.602614,-0.226648,-7.044651,-1.212940,0.069588
0.06500,0.652725,-1.119692,-9.266384,-1.207216,-0.019412
0.07000,0.702810,-1.284127,-16.206557,0.983640,0.087624
0.07500,0.752867,-0.508920,-5.225026,2.259495,0.179041
0.08000,0.802894,-1.498115,-8.485182,2.338889,-0.004270
0.08500,0.852889,-0.650041,-8.042471,1.569265,0.107632
0.09000,0.902851,-1.179334,-9.076904,2.346791,-0.011699
0.09500,0.952777,-1.474223,-12.635518,2.159176,0.076977
0.10000,1.002666,-2.142047,-8.536865,1.376003,0.051224
0.10500,1.052515,-0.810241,-5.387494,4.515337,0.243814
0.11000,1.102322,-2.195478,-1.658227,2.570989,0.174173
0.11500,1.152086,-2.026342,-7.633308,1.578343,0.364085
0.12000,1.201805,-1.259815,-10.695323,2.653416,0.390399
0.12500,1.251476,-2.180664,-3.564463,1.742482,0.395684
0.13000,1.301097,-1.526103,-9.249250,3.923341,0.203893
0.13500,1.350668,-1.827997,-9.331482,5.564085,0.445345
0.14000,1.400184,-2.000558,-8.368502,3.206965,0.539462
0.14500,1.449646,-2.403220,-5.758926,6.416803,0.602288
0.15000,1.499051,-2.311999,-13.295104,7.980047,0.485804
0.15500,1.548396,-1.995942,-7.796629,6.431436,0.640730
0.16000,1.597680,-2.594528,-8.463438,5.108314,0.641392
0.16500,1.646901,-1.995712,-10.026630,5.950739,0.710395
0.17000,1.696057,-2.233345,-1.272266,7.058935,0.950752
0.17500,1.745146,-2.181149,-14.716378,6.471727,0.817674
0.18000,1.794166,-2.384517,-8.337201,7.042460,0.950215
0.18500,1.843115,-2.319951,-7.368116,8.746626,1.097716
0.19000,1.891992,-2.469687,-7.321751,9.401176,1.006986
0.19500,1.940794,-2.357383,-2.051624,10.894002,1.111077
0.20000,1.989519,-2.618038,-16.821294,9.374285,1.190573
0.20500,2.038166,-2.714251,-9.550772,13.560574,1.243453
0.21000,2.086732,-3.304656,-11.756486,13.225276,1.172128
0.21500,2.135216,-3.715199,-13.969779,13.647856,1.360322
0.22000,2.183615,-3.046962,-10.608188,12.480016,1.546670
0.22500,2.231929,-2.741013,-6.437599,15.912380,1.313409
0.23000,2.280154,-3.601749,-9.282849,14.131257,1.612062
0.23500,2.328289,-3.949361,-0.100223,17.309852,1.595305
0.24000,2.376333,-3.587270,-14.359787,17.106434,1.576127
0.24500,2.424282,-3.281275,-6.674255,15.481002,1.897343
0.25000,2.472136,-3.147133,-6.787942,16.676376,1.829460
0.25500,2.519892,-3.710103,-7.512105,20.075471,1.688577
0.26000,2.567549,-4.138880,-5.349108,19.749315,1.871133
0.26500,2.615104,-3.745139,-8.981106,19.091859,1.975744
0.27000,2.662556,-3.507538,-5.843828,20.208556,1.952683
0.27500,2.709903,-3.884876,-8.910169,20.902249,2.092846
0.28000,2.757143,-3.512084,-9.876145,20.470538,2.069854
0.28500,2.804275,-4.215303,-11.638973,21.843915,2.194596
0.29000,2.851295,-3.712859,-9.564805,22.013080,2.322251
0.29500,2.898203,-3.464142,-4.839481,22.990217,2.160039
0.30000,2.944996,-4.632992,-9.786978,24.743351,2.296718
0.30500,2.991674,-4.650634,-4.778451,23.787505,2.277737
0.31000,3.038233,-4.087596,-8.496118,26.461294,2.383759
0.31500,3.084672,-3.127066,-7.708076,26.447176,2.298080
0.32000,3.130989,-4.287235,-2.344096,27.914529,2.404046
0.32500,3.177183,-4.579535,-12.435675,28.765581,2.486611
0.33000,3.223251,-4.092063,-7.953954,29.883802,2.639600
0.33500,3.269193,-4.754705,-3.886658,29.859997,2.706746
0.34000,3.315005,-5.451415,-5.224115,30.647847,2.501103
0.34500,3.360686,-5.243878,-5.956160,30.303540,2.594879
0.35000,3.406234,-4.351988,-1.762289,31.868116,2.779272
0.35500,3.451648,-5.685346,-9.274811,30.835679,2.554171
0.36000,3.496926,-5.645845,-6.917708,32.281872,2.745850
0.36500,3.542066,-4.778318,-0.153184,34.122336,2.820307
0.37000,3.587066,-5.126431,-12.104160,33.858871,2.993094
0.37500,3.631924,-4.751705,-5.052609,35.109162,2.972754
0.38000,3.676639,-5.766104,-4.831737,34.016382,2.906848
0.38500,3.721209,-5.698131,-5.915877,37.508928,2.938064
0.39000,3.765631,-5.603756,-5.455937,35.888920,2.984761
0.39500,3.809906,-6.041891,-10.596809,37.674100,3.196773
0.40000,3.854029,-5.690171,-6.517614,37.827925,3.035231
0.40500,3.898001,-5.730823,-7.589337,39.582743,3.081205
0.41000,3.941819,-5.364389,-5.549244,38.676981,3.180094
0.41500,3.985481,-5.828290,-6.390963,38.581427,3.165519
0.42000,4.028986,-6.024985,0.528080,38.152544,3.190406
