time_s,piston_pos_mm,inlet_air_pressure,inlet_air_flow,outlet_water_pressure,outlet_water_flow
0.00000,0.000000,-0.119370,-0.233523,5.305111,0.005217
0.00500,0.005000,-0.188812,-0.462805,-3.298651,0.207454
0.01000,0.015000,-0.268638,-0.319057,-0.367521,0.186885
0.01500,0.030000,-0.817627,0.877342,2.183447,-0.077715
0.02000,0.050000,-0.611570,1.223420,2.166423,-0.045074
0.02500,0.075000,-0.258740,-0.278235,-3.561985,-0.079602
0.03000,0.105000,0.266939,-2.051242,-2.090844,0.088584
0.03500,0.140000,-1.005925,-2.359690,-0.242240,-0.005628
0.04000,0.180000,0.867751,-2.394209,-1.748986,0.118729
0.04500,0.225000,-0.399847,-2.858741,-1.446321,-0.274456
0.05000,0.275000,0.336531,-3.366151,-0.514040,0.249894
0.05500,0.330000,-0.917672,-4.231144,-0.268517,0.000781
0.06000,0.390000,-1.132004,-3.909090,2.500779,0.125169
0.06500,0.455000,0.351124,-5.485213,-3.507443,0.007874
0.07000,0.525000,-0.103570,-5.944892,2.534204,-0.020117
0.07500,0.600000,-1.897879,-7.277824,-0.155941,0.119262
0.08000,0.680000,-0.344694,-7.797257,1.703647,0.187374
0.08500,0.765000,-1.874094,-9.624993,-0.190194,0.045959
0.09000,0.855000,-0.592289,-10.283856,5.794476,0.071338
0.09500,0.950000,-0.490882,-9.976710,-3.022420,0.219783
0.10000,1.050000,-1.142487,-12.902596,3.632446,0.005851
0.10500,1.155000,-1.501634,-13.429510,0.320631,-0.065786
0.11000,1.265000,-1.544641,-12.486855,1.031930,0.255502
0.11500,1.380000,-1.618583,-13.712090,4.883747,0.126491
0.12000,1.500000,-2.295332,-15.560367,1.680447,-0.026859
0.12500,1.625000,-1.611994,-16.567995,4.420916,0.183204
0.13000,1.755000,-2.480347,-15.624517,5.986003,0.281489
0.13500,1.890000,-3.421974,-17.687199,1.970014,0.220540
0.14000,2.030000,-2.232777,-17.248876,8.097647,0.229130
0.14500,2.175000,-1.430724,-18.684926,6.947306,0.521320
0.15000,2.325000,-2.120287,-19.596499,4.283415,0.716328
0.15500,2.480000,-3.163209,-20.670248,5.834120,0.612530
0.16000,2.640000,-3.764715,-21.936691,4.441417,0.608389
0.16500,2.805000,-3.838588,-22.889065,7.306138,0.859513
0.17000,2.975000,-2.816374,-23.569779,9.291080,0.994454
0.17500,3.150000,-3.447654,-22.639653,10.364083,0.928923
0.18000,3.321250,-4.788446,-23.873576,9.515366,1.152951
0.18500,3.488219,-4.299825,-24.322899,8.798733,1.329650
0.19000,3.651013,-3.699466,-26.161884,9.469712,1.245175
0.19500,3.809738,-4.909883,-26.370885,9.797623,1.264290
0.20000,3.964495,-5.128237,-27.614598,12.323894,1.558437
0.20500,4.115382,-5.836928,-26.613561,15.345152,1.665341
0.21000,4.262498,-6.832589,-26.430575,13.950932,1.922378
0.21500,4.405935,-5.340674,-27.446578,14.957793,1.690675
0.22000,4.545787,-5.726084,-25.914141,15.418748,1.922126
